t,g,oil
1990,,23.76
1991,,20.04
1992,,19.32
1993,-9.2,17.01
1994,-12.58,15.86
1995,-8.2,17.02
1996,0.5,20.64
1997,1.7,19.11
1998,-1.9,12.76
1999,2.7,17.9
2000,9.8,28.66
2001,13.499,24.46
2002,9.799,24.99
2003,9.3,28.85
2004,9.599,38.26
2005,9.702,54.57
2006,10.7,65.16
2007,8.9,72.44
2008,3.3,96.94
2009,1.2,61.74
2010,7.299,79.61
2011,7.501,111.26
2012,5.001,111.63
2013,5.899,108.56
2014,4.3,98.97
2015,1,52.32
2016,0.9,43.64
2017,3.901,54.13
2018,4.1,71.34
2019,4.5,64.3
2020,-2.6,41.96
2021,4.1,70.86
2022,3.214,100.93
2023,4.267,
2024,4.875,
2025,3.44,
2026,1.724,
2027,2.713,
2028,2.778,