i,name_short,exports_si,exports_sh,exports_wsh,rca,vaxos_si,vaxos_sh,vaxos_wsh,rca_vaxos
1,Agriculture,1753.948897153459,0.02863305547821316,0.025652152982104017,1.116204768394635,1435.0182833565627,0.026312110568839652,0.045071285213095495,0.5837887791403528
2,Mining,34540.5393731684,0.5638711491106835,0.07321481288273793,7.701599265353432,23395.110132950118,0.4289664680428402,0.09193899900908403,4.665772660853706
3,Food & beverages,1215.1325799173692,0.01983692833390126,0.051600459165680984,0.38443317471668215,688.2267697138872,0.012619141561590563,0.02546032538804331,0.4956394456575472
4,Textiles,77.67803076038903,0.0012680867543006689,0.029484245402511166,0.04300896078529676,48.61692799534667,8.914269593407179e-4,0.015824001044426328,0.05633385367190078
5,Leather,15.8628518672684,2.589596072584056e-4,0.006450023393307328,0.04014863070529437,8.41897478881005,1.543680649150319e-4,0.003189459173789982,0.04839944846561521
6,Wood,19.807792486277528,3.233604023931238e-4,0.006153987266365375,0.052544860494016694,15.191903835410853,2.785546763442786e-4,0.005062716248382747,0.05502079569109984
7,Paper,42.510612998020385,6.939818727675675e-4,0.017658379470326623,0.03930042810178272,57.78004465475076,0.0010594394101183294,0.016147781327152704,0.06560897677855398
8,Refined fuels,1567.437124570261,0.025588267833384,0.037877602126696205,0.6755514181651255,882.732911655016,0.01618555404039363,0.015315790245236379,1.0567886985412178
9,Chemicals,869.3654685152413,0.014192311834876533,0.07546268512685622,0.18807059159130912,497.07493912478634,0.009114232836572731,0.04983162231270663,0.18290058427916525
10,Rubber,135.04202109164015,0.0022045486547996366,0.01991727131058346,0.11068527512743191,144.58066204416198,0.002650992262568116,0.014890264482389299,0.17803527034079497
11,Other minerals,137.16925051713585,0.0022392754807943715,0.009727654420286438,0.23019685774655987,252.56216173803324,0.004630912095149302,0.008622310921547333,0.5370847951651287
12,Metals,8942.099027304937,0.1459789495326992,0.06676046377562528,2.1866077806666935,5555.092457205952,0.10185668618259121,0.047026205908904634,2.1659558583122727
13,Other machinery,295.65918509249923,0.0048266091806528485,0.05788872259139693,0.08337736547964784,437.4735201818876,0.008021397195749317,0.03575728052002926,0.2243290619166682
14,Electricals,250.6017819551907,0.0040910511915754205,0.11890101054599944,0.03440720287228096,122.20912129455238,0.0022407936883574986,0.06294321866076197,0.035600239962853726
15,Transport equipment,494.1382933802836,0.008066762487339056,0.08740945272856673,0.09228707234203648,223.5729749754163,0.004099374137587827,0.03976304244938412,0.10309508239481613
16,Other manufacturing,61.823607820990404,0.0010092647485195406,0.023663993410692554,0.04264980686072644,30.15890492345923,5.529855962009424e-4,0.015324545781948268,0.03608495834521493
17,Utilities,160.04190850178762,0.002612669532395083,0.004306714675439053,0.6066502495034063,507.48282880418,0.009305069111767731,0.023572013832629832,0.39475070640282256
18,Construction,160.7053665068043,0.0026235004237032265,0.00528995482152096,0.4959400433875391,302.45210903842303,0.005545680795218377,0.011491161268654366,0.4826040350113184
19,Sale of motor vehicles,39.5522809482972,6.4568737237467e-4,0.003485780548003874,0.18523465934894315,112.88025877337914,0.002069742165888761,0.00867364629865626,0.23862422960565155
20,Wholesale trade,5005.88616392809,0.08172063421117559,0.06251808535898898,1.307151902396282,8107.5374553139,0.1486576334527596,0.088138083800367,1.686644717503384
21,Retail trade & repair,549.9634026007872,0.008978102294320977,0.013306903569815834,0.6746950744188216,1737.7553924471322,0.03186301704861632,0.029777663218918626,1.0700308084743468
22,Hotels & restaurants,1.8296475445822585e-13,2.986882898049261e-18,0.009637176612855273,3.0993339834251693e-16,98.6158085957265,0.0018081930311974633,0.011629482805255298,0.15548352936042442
23,Inland transport,3077.937522290037,0.05024704880355116,0.016144907196515332,3.112253801892174,4629.6090339348875,0.08488727022102062,0.02920268036244615,2.906831467777983
24,Water transport,14.797002475330736,2.4155971332745897e-4,0.013982990510808164,0.01727525404102543,24.90669855799395,4.5668254820406345e-4,0.006504253678590115,0.07021290539563572
25,Air transport,304.2934463112199,0.004967562706089218,0.01068105243213686,0.46508176396016476,186.29814374826762,0.0034159128241964105,0.00633472845055141,0.5392358726756583
26,Other transport services,331.4559484687997,0.005410988071826667,0.01021510112393765,0.5297047974539164,714.8523857793269,0.013107341720433591,0.01908599397918308,0.6867518524175188
27,Telecommunications,150.27574521503914,0.002453237809126186,0.00660917831559817,0.37118650639767964,192.13462515851967,0.00352292898279219,0.014099919705669161,0.24985454217698305
28,Finance,195.1818011673489,0.0031863250692379217,0.03247326244378344,0.09812149533031904,1108.5520455571839,0.020326113145951088,0.06139357495652956,0.33107883292906837
29,Real estate,73.3387514297047,0.0011972484157307182,0.0015686231463029135,0.7632479595577255,348.3924694270163,0.006388030928409437,0.022942553268500365,0.2784359200848001
30,Other business services,430.4560551273453,0.007027155766851102,0.08211371728851609,0.08557834182759469,2297.5358192496024,0.04212700089824863,0.13762868089723443,0.30609172901761894
31,Public administration,3.70962519961419e-12,6.055929241514116e-17,0.003787103446055926,1.5990926384176422e-14,0.03490814203068758,6.400663347060551e-7,0.009000170395267506,7.111713518697563e-5
32,Education,12.262979863343157,2.001920257341421e-4,0.002620547400027328,0.07639320919440512,9.831385280738777,1.8026564508055493e-4,0.005463740955126513,0.032993080484794116
33,Social work,1.5730857856985752,2.5680481710154944e-5,0.0019048447681737327,0.013481666400971913,3.3449818616521547,6.133269075059278e-5,0.003000819158421527,0.020438649419598692
34,Other personal services,329.54823346373024,0.0053798447986871676,0.011460172774597615,0.46943836750978324,362.2820963277111,0.006642707403970553,0.019758324598416505,0.3361979084250352
35,Private households,0,0,7.096696718483633e-5,0,0,0,1.3365968269627538e-4,0
