t,s,i,name_short,exports_si,exports_sh,exports_wsh,rca,vaxos_si,vaxos_sh,vaxos_wsh,rca_vaxos
2022,49,1,Agriculture,2194.4040201972125,0.03286088521754831,0.0261572600954369,1.2562816249734372,1917.6017957438075,0.03164993023554172,0.045606843658866185,0.6939732657729938
2022,49,2,Mining,39869.70438869491,0.5970431003205788,0.08804481958493544,6.781126966188179,27218.999217393062,0.4492483414564183,0.10928263471009002,4.110884978644639
2022,49,3,Food & beverages,1364.2657612565404,0.020429683948014896,0.05013559665870787,0.407488597115689,795.4685418141871,0.013129172025635042,0.023980860435218864,0.5474854441149755
2022,49,4,Textiles,63.86048986904278,9.563016692497798e-4,0.027607512245965953,0.0346391830140188,41.64385429181828,6.873299169830365e-4,0.01472918702357801,0.04666448432508738
2022,49,5,Leather,11.191841156107834,1.6759621483506063e-4,0.006186497623450747,0.02709064563441595,5.918788216720385,9.768932974193659e-5,0.0031183877070559874,0.031326871101016264
2022,49,6,Wood,7.805453621415433,1.1688554758534304e-4,0.0064678373001062685,0.018071813213888756,7.257790226114375,1.1978949687602695e-4,0.005332749449814586,0.022462989871048958
2022,49,7,Paper,57.175671453153385,8.561974730111342e-4,0.01649800502213521,0.05189703069324943,62.24878574659498,0.0010274133714829553,0.014098917026486846,0.07287179359611885
2022,49,8,Refined fuels,1134.1275972522537,0.016983397976098692,0.04422739042550146,0.3840018100255376,765.9134670315848,0.012641366863451853,0.017416462471686045,0.7258286166896941
2022,49,9,Chemicals,1316.099733886634,0.01970840460190545,0.07286471889129609,0.2704793884034277,725.5180434379665,0.01197464223823984,0.04892898045617661,0.24473516771854598
2022,49,10,Rubber,150.86905228873573,0.00225924240226961,0.018233780861899616,0.12390422037979014,150.2577919446845,0.0024799980073814884,0.01377530573370526,0.1800321572038476
2022,49,11,Other minerals,155.9272492788345,0.002334988176142393,0.009628713057671623,0.24250262336792808,317.89944373178935,0.005246915829115583,0.008723628491747543,0.6014602563691368
2022,49,12,Metals,11920.857443056871,0.17851312908907419,0.06958677127230353,2.5653313959707282,7298.12152880391,0.12045516318863966,0.047881742547212315,2.51568044061614
2022,49,13,Other machinery,316.7163997226356,0.004742782624352531,0.05733424077249059,0.082721643479548,356.31358976124767,0.005880939558436653,0.034752627208984255,0.1692228769661567
2022,49,14,Electricals,300.0683094478954,0.004493479862156326,0.11989893751426627,0.03747722836677903,143.99901445699464,0.00237669717021872,0.06151068976824656,0.03863876635383845
2022,49,15,Transport equipment,676.2872899938079,0.010127305093332858,0.07637034684007861,0.1326078185102352,303.1208345897487,0.005002995558826884,0.0343706299103176,0.1455601940342982
2022,49,16,Other manufacturing,34.80452372269924,5.21192746903677e-4,0.023949790164346802,0.021761891996847558,18.04977003570989,2.979106317410394e-4,0.015652375500430495,0.01903293412126778
2022,49,17,Utilities,122.03369395530993,0.0018274370502558894,0.00455202029488069,0.401456261588084,535.3302171175181,0.008835600833474847,0.024476161754512955,0.3609880062933366
2022,49,18,Construction,103.94038277401661,0.0015564923124311613,0.004583267298877088,0.3396032155516013,277.41472884798367,0.004578717455228873,0.012254263683703345,0.3736428049380071
2022,49,19,Sale of motor vehicles,21.299015862620326,3.189497052805283e-4,0.003365814305121765,0.09476152763246089,110.17977059768774,0.0018185120917829471,0.00801568182171344,0.2268692959913696
2022,49,20,Wholesale trade,3315.023784695444,0.04964200533707078,0.06071964691969042,0.8175608366552055,7653.7279103905985,0.12632443030838936,0.08564348336227767,1.4750034135583738
2022,49,21,Retail trade & repair,404.7627491883338,0.006061264069422265,0.013377440362765473,0.4530959514716342,1778.07889358093,0.02934711109471872,0.03082451627961017,0.9520704503035875
2022,49,22,Hotels & restaurants,0,0,0.0076628917769297885,0,95.4097012151522,0.0015747327698356418,0.01010116846688977,0.15589610004004956
2022,49,23,Inland transport,2014.2526801331746,0.03016314475902517,0.015531514339709522,1.9420607739392715,4457.826769545927,0.07357622764612208,0.028629436459795942,2.5699502590435026
2022,49,24,Water transport,13.291463245253498,1.9903775424011695e-4,0.01586196733001961,0.012548112734000373,20.38322975818713,3.3642427810274633e-4,0.006975072993904391,0.0482323666572023
2022,49,25,Air transport,148.8201964445711,0.002228561080096154,0.0094500327602157555,0.23582575178768728,95.19260475799815,0.0015711496027054485,0.005501156494561482,0.28560350978175375
2022,49,26,Other transport services,222.64846190028769,0.0033341287579811765,0.010489106470249934,0.317865851341838,647.1511794415986,0.010681200719897312,0.019815842757802682,0.5390232881057498
2022,49,27,Telecommunications,88.57062727880313,0.001326332430066107,0.005951165045677784,0.22286937429661718,182.63610166174152,0.0030144005334763932,0.012494952465354564,0.2412494598786659
2022,49,28,Finance,201.31531775796793,0.003014667986610925,0.030143620008794503,0.10001015092850113,1168.0148843615987,0.0192780324289276,0.05988035437499706,0.3219425240572242
2022,49,29,Real estate,42.58786371032888,6.377471459972704e-4,0.001488227856888553,0.4285278917776827,414.725949464795,0.006845032892941244,0.02198126853913629,0.31140299663570764
2022,49,30,Other business services,290.3687894784238,0.004348230942883257,0.08531202904265596,0.05096855615412857,2670.786390614984,0.044081207644160854,0.13897539177789336,0.3171871442867398
2022,49,31,Public administration,0,0,0.0035359995039301747,0,0.0321836639509651,5.311899065974024e-7,0.00896422253112959,5.925666222059602e-5
2022,49,32,Education,10.451286277714235,1.56506511830415e-4,0.0022874884524498353,0.06841849263230201,8.906576323722854,1.4700263626631318e-4,0.005021313696429787,0.029275732438471987
2022,49,33,Social work,2.021522985881311,3.027201654402332e-5,0.0017036364889584028,0.01776905856397307,3.9304461251383125,6.487183414788715e-5,0.002742167874907129,0.02365713446704433
2022,49,34,Other personal services,203.050305379818,0.0030406491772078867,0.010748110649114864,0.28290080707889736,339.80821868837404,0.005608519161184391,0.018465443565179058,0.3037305408552749
2022,49,35,Private households,0,0,4.380276247296394e-5,0,0,0,7.607900056919056e-5,0
